id,name,category,main_category,currency,deadline,goal,launched,pledged,state,backers,country,usd pledged,usd_pledged_real,usd_goal_real,gap,launched_parsed,deadline_parsed
0,The Gettysburg Story,Television,Film & Video,USD,2013-03-31,25000.0,2013-03-01 21:56:33,66237.0,successful,505,US,66237.0,66237.0,25000.0,10.0,2013-03-01 21:56:33,2013-03-31 00:00:00
1,Better to Have Loved...?,Plays,Theater,GBP,2015-06-18,3000.0,2015-05-19 12:41:07,3271.0,successful,57,GB,5140.6,5180.72,4751.5,-2140.6000000000004,2015-05-19 12:41:07,2015-06-18 00:00:00
2,Existence Project - Documentary,Documentary,Film & Video,GBP,2013-07-16,1000.0,2013-06-21 22:25:12,50.0,failed,1,GB,77.32,76.3,1526.02,922.6800000000001,2013-06-21 22:25:12,2013-07-16 00:00:00
3,GLOW: Animation Feature surely to blow your heart wide open!,Animation,Film & Video,USD,2014-06-27,125000.0,2014-05-28 14:49:01,21390.0,failed,96,US,21390.0,21390.0,125000.0,103610.0,2014-05-28 14:49:01,2014-06-27 00:00:00
4,Misfits of Love a book of art and story from Apifera Farm,Art Books,Publishing,USD,2012-01-31,8750.0,2011-12-02 01:16:42,8805.0,successful,139,US,8805.0,8805.0,8750.0,-55.0,2011-12-02 01:16:42,2012-01-31 00:00:00
5,NIK: re-imagining the simple desk,Product Design,Design,USD,2016-06-01,27800.0,2016-05-02 16:49:16,80337.0,successful,274,US,80337.0,80337.0,27800.0,-52537.0,2016-05-02 16:49:16,2016-06-01 00:00:00
6,POSEY Starring Sally Kirkland,Shorts,Film & Video,USD,2012-06-11,5000.0,2012-05-16 23:28:56,7445.0,successful,114,US,7445.0,7445.0,5000.0,-2445.0,2012-05-16 23:28:56,2012-06-11 00:00:00
7,The Invisible Line,Conceptual Art,Art,USD,2012-04-19,5500.0,2012-03-20 20:14:17,5660.0,successful,76,US,5660.0,5660.0,5500.0,-160.0,2012-03-20 20:14:17,2012-04-19 00:00:00
8,"Join The C-List, Recieve Comics, Prints, and/or Original Artwork",Comics,Comics,USD,2010-08-30,3000.0,2010-07-10 02:48:40,2082.0,failed,17,US,2082.0,2082.0,3000.0,918.0,2010-07-10 02:48:40,2010-08-30 00:00:00
9,Posada Presente and Community Printmaking Festival,Art,Art,USD,2013-08-04,3000.0,2013-06-25 21:06:53,3050.0,successful,71,US,3050.0,3050.0,3000.0,-50.0,2013-06-25 21:06:53,2013-08-04 00:00:00
